FIPS,State,County,DIABETES_08(%),DIABETES_13(%),OBESE_12(%),OBESE_17(%),PHYSICALLY_ACT_17(%),GYMS_11,GYMS_16,GYMS_11_16_(%),GYMS_POP_11,GYMS_POP_16,GYMS_POP_11_16(%),WHITEPPL_10(%),BLACKPPL_10(%),HISPPPL_10(%),ASIANPPL_10(%),AMERI_INDPPL_10(%),HAWAIIANPPL_10(%),OVER65_PPL_10(%),UNDER18_PPL_10(%),MEDIAN_HOUSEHOLD_INCOME_15,POVERTY_RATE_15(%),PERSISTENT_POVERTY_COUNTIES_10,CHILD_POVERTY_RATE_15(%),PERSISTENT_CHILD_POVERTY_COUNTIES_10,METROPOLITAN_COUNTIES_13,POPULATION_LOSS_COUNTIES_10,FAST_FOOD_RESTAURANTS_11,FAST_FOOD_RESTAURANTS_16,FAST_FOOD_RESTAURANTS_11_16(%),FAST_FOOD_RESTAURANT_POP_11,FAST_FOOD_RESTAURANT_POP_16,PCH_FFRPTH_11_16,FULL_SERVICE_RESTAURANTS_11,FULL_SERVICE_RESTAURANTS_16,FULL_SERVICE_RESTAURANTS_11_16(%),FULL_SERVICE_RESTAURANTS_POP_11,FULL_SERVICE_RESTAURANTS_POP_16,FULL_SERVICE_RESTAURANTS_POP_11_16(%),EXPENDITURES_PPC_FAST_FOOD_07,EXPENDITURES_PPC_FAST_FOOD_12,EXPENDITURES_PPC_RESTAURANTS_07,EXPENDITURES_PPC_RESTAURANTS_12
2016,AK,Aleutians West,5.9,6.2,25.7,34.2,18.400000000000006,0,0,0.0,0.0,0.0,0.0,31.3792483366301,5.7183959719474915,13.055205898219743,28.322244200683333,15.123179284301386,1.8342024815680633,3.4705988131631003,14.65563747527423,80695.0,8.5,0,8.5,0,0,0.0,2,0,-100.0,0.357973868,0.0,-100.0,2,4,100.0,0.357973868,0.696015312,94.431877501,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2020,AK,Anchorage,7.0,7.0,25.7,34.2,18.400000000000006,35,44,25.714285714,0.118127112,0.147960831,25.255607139,62.644863720162014,5.245591551129783,7.5596417043032496,7.952684133696107,7.554844325043004,1.979261614797859,7.243700013021457,25.969584615490053,77791.0,8.7,0,12.4,0,1,0.0,201,208,3.482587065,0.678387126,0.6994512,3.105022611,222,247,11.261261261,0.749263393,0.8305983,10.855315696,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2060,AK,Bristol Bay,6.8,8.5,25.7,34.2,18.400000000000006,0,0,0.0,0.0,0.0,0.0,47.7432296890672,0.0,2.4072216649949847,0.802407221664995,33.09929789368105,0.3009027081243731,8.324974924774322,22.567703109327983,66373.0,9.0,0,8.6,0,0,1.0,0,0,0.0,0.0,0.0,0.0,2,2,0.0,1.941747573,2.209944751,13.812154696,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2068,AK,Denali,6.0,5.8,25.7,34.2,18.400000000000006,0,0,0.0,0.0,0.0,0.0,88.38992332968236,0.547645125958379,2.3001095290251916,1.04052573932092,3.5049288061336252,0.054764512595837894,7.502738225629792,22.508214676889377,73000.0,6.6,0,10.2,0,0,0.0,1,3,200.0,0.534759358,1.466992665,174.327628362,8,6,-25.0,4.278074866,2.93398533,-31.41809291,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2070,AK,Dillingham,7.8,7.2,25.7,34.2,18.400000000000006,0,0,0.0,0.0,0.0,0.0,17.639777181761914,0.22694450175366207,2.0837631524654427,0.6602021869197442,70.78605322880132,0.12378791004745203,7.571693831235817,32.906952754281,50753.0,20.0,0,30.4,1,0,0.0,1,1,0.0,0.202101859,0.20096463,-0.562700965,3,2,-33.333333333,0.606305578,0.40192926,-33.70846731,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2090,AK,Fairbanks North Star,5.2,5.5,25.7,34.2,18.400000000000006,7,12,71.428571429,0.071329583,0.119281923,67.22643969,74.0502761808139,4.256976255623533,5.791086379520603,2.574271630747789,6.834322255357088,0.384296123220709,6.533034094752052,25.620766337709185,70881.0,8.1,0,10.1,0,1,0.0,43,44,2.325581395,0.438167441,0.43736705,-0.182667782,58,69,18.965517241,0.591016548,0.685871056,16.049382716,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2100,AK,Haines,6.6,7.9,25.7,34.2,18.400000000000006,0,0,0.0,0.0,0.0,0.0,82.21690590111643,0.3588516746411483,1.8740031897926632,0.518341307814992,9.05103668261563,0.0,13.75598086124402,19.896331738437002,57876.0,10.9,0,20.2,0,0,0.0,1,1,0.0,0.388500389,0.395100751,1.698933228,7,5,-28.571428571,2.71950272,1.975503753,-27.357904837,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2110,AK,Juneau,5.3,5.9,25.7,34.2,18.400000000000006,6,8,33.333333333,0.186555562,0.246875482,32.333487631,67.3541167066347,0.8281374900079935,5.0775379696243,6.007993605115907,11.299760191846522,0.6810551558752997,8.425259792166267,23.456434852118306,82892.0,8.0,0,10.1,0,0,0.0,23,28,21.739130435,0.715129656,0.864064188,20.826227837,28,31,10.714285714,0.870592625,0.956642493,9.884056693,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2122,AK,Kenai Peninsula,6.3,7.2,25.7,34.2,18.400000000000006,9,8,-11.111111111,0.159846547,0.136651692,-14.510701536,82.81407942238268,0.4476534296028881,2.9620938628158844,1.108303249097473,7.166064981949459,0.2003610108303249,11.328519855595667,23.666064981949457,62025.0,11.4,0,14.0,0,0,0.0,33,44,33.333333333,0.586104007,0.751584306,28.233947697,68,69,1.470588235,1.207729469,1.178620843,-2.410194216,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
2130,AK,Ketchikan Gateway,7.2,8.9,25.7,34.2,18.400000000000006,5,3,-40.0,0.366461448,0.218547388,-40.362788665,66.17199673517845,0.5639237218965645,3.991986347109891,6.945165838094532,13.586109668323813,0.1780811753357572,10.143206945165838,23.944498033687022,65314.0,10.3,0,14.4,0,0,0.0,7,11,57.142857143,0.513046028,0.801340424,56.192696354,12,13,8.333333333,0.879507476,0.947038683,7.678298244,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
